2013.01.04;413
2013.01.09;416
2013.01.16;418
2013.01.30;423
2013.02.06;431
2013.02.13;431
2013.02.20;434
2013.02.27;437
2013.03.06;431
2013.03.13;426
2013.03.20;429
2013.04.10;424
2013.04.17;411
2013.04.24;403
2013.05.02;408
2013.05.23;409
2013.06.12;411
2013.06.21;408
2013.07.03;408
2013.07.10;412
2013.07.17;420
2013.07.24;422
2013.07.31;419
2013.08.07;421
2013.08.14;416
2013.08.28;420
2013.09.04;432
2013.09.11;426
2013.09.18;414
2013.09.25;407
2013.10.09;400
2013.10.23;402
2013.10.30;395
2013.11.06;391
2013.11.20;401
2013.11.27;403
2013.12.06;403
2013.12.11;406
2013.12.18;399
