2012.01.04;413
2012.01.11;423
2012.01.18;426
2012.01.25;426
2012.02.01;421
2012.02.08;418
2012.02.15;420
2012.02.22;424
2012.03.07;429
2012.03.14;436
2012.03.21;441
2012.03.28;445
2012.04.04;450
2012.04.18;454
2012.04.25;450
2012.05.05;440
2012.05.09;430
2012.05.16;425
2012.05.31;429
2012.06.13;421
2012.06.20;416
2012.06.27;406
2012.07.11;414
2012.07.18;420
2012.07.25;425
2012.08.08;425
2012.08.15;430
2012.08.22;438
2012.09.05;438
2012.09.12;446
2012.09.19;438
2012.09.26;428
2012.10.10;430
2012.10.17;432
2012.10.26;422
2012.10.31;412
2012.11.07;404
2012.11.21;406
2012.12.05;403
2012.12.12;401
2012.12.19;405
2012.12.28;408
